timestamp,model_name,generator_path,preprocessing,noise_type,seq_len,n_samples,mmd,wasserstein_1,ks_statistic,ks_pvalue,js_divergence,acf_rmse_returns,acf_rmse_squared,frechet_distance,dtw_distance,mean_diff,std_ratio,skew_diff,kurtosis_diff,mlp_disc_score,mlp_disc_accuracy,gru_disc_score,gru_disc_accuracy,gru_auc,tstr_mae,trtr_mae,tstr_trtr_ratio,shannon_entropy_diff,lz_complexity_diff,plugin_entropy_diff,dy_lag1,dy_lag5,dy_lag20,acf_identity,acf_squared,acf_absolute,acf_orig_identity,acf_orig_squared,acf_orig_absolute,acf_cont_identity_l2,acf_cont_squared_l2,acf_cont_absolute_l2,acf_cont_identity_mse,acf_cont_squared_mse,acf_cont_absolute_mse,leverage_score,bouchaud_leverage_score,vol_clustering_acf_score,vol_clustering_decay_real,vol_clustering_decay_synth,pdf_rmse,tail_ratio_5pct,tail_ratio_1pct,hill_index_real,hill_index_synth
2026-03-07 08:24:51,WaveNet-GAN_ML_TL,wavenet_generator_ml_tl.keras,minmax,normal,24.0,100.0,0.0082205566534226,0.015736801593254,0.1466666666666666,6.360498027609526e-23,0.3091992515002333,0.0990158915519714,0.0913295373320579,0.000160637941546,19.127427785501933,0.0016960501670837,0.7896174788475037,0.0292433574795722,2.245800971984864,0.0749999999999999,0.575,0.0,0.5,0.4950000047683716,0.0566779859364032,0.0638468414545059,0.8877179300527996,0.1812346143627046,0.0141666666666666,0.3598103375019805,,,,0.5786076795269286,0.5652135029178441,0.5786076795269286,,,,,,,,,,0.6235603125487144,0.019044058625911,0.7594276471570075,0.2689260178613207,-0.0270153793210711,0.0079074507761843,0.7000000000000001,1.9375,2.898660464721593,1.809841533686844
2026-03-07 08:27:31,WaveNet-GAN,wavenet_generator.keras,minmax,normal,24.0,100.0,0.0269814531677948,0.0213004865559438,0.1658333333333333,3.236512284308364e-29,0.3169259563723234,0.0477447398006916,0.0480156652629375,0.0011622608966951,18.04519604535773,0.0034546256065368,0.431822657585144,0.0635914355516433,5.126523017883301,0.125,0.625,0.0,0.5,0.6499999761581421,0.0572682432830333,0.0579095780849456,0.9889252378773756,0.2218214994667389,0.0179166666666666,0.4322451612724789,,,,0.4902535269215642,0.4830126617105199,0.4902535269215642,,,,,,,,,,0.5114543536168482,0.0216224352017587,0.6869009118012718,0.2689260178613207,-0.1376704895228756,0.005149501054579,1.1583333333333332,1.0,2.898660464721593,3.455358848726331
2026-03-07 08:33:09,WaveNet-GAN_ML,wavenet_generator_ml.keras,minmax,normal,24.0,100.0,0.0083413035651443,0.0159006111013392,0.1491666666666666,1.0643516196643334e-23,0.3229932567261829,0.0928671658039093,0.0876272469758987,8.491778245076163e-05,18.940019463796634,0.000512421131134,0.8458898067474365,0.4192501902580261,1.485700607299805,0.15,0.65,0.0,0.5,0.5012500286102295,0.0564480610191822,0.0578739941120147,0.9753614189808176,0.1713720758671004,0.0125,0.3362210168591071,,,,0.5871926451624772,0.5600658476957159,0.5871926451624772,,,,,,,,,,0.6204093660696023,0.026342144094312,0.7860715767595071,0.2689260178613207,0.0161874833770164,0.0088132633633127,0.7083333333333333,2.3125,2.898660464721593,2.5141798798324784
2026-03-07 09:08:11,WaveNet-Lambert-GAN,wavenet_lambert_generator.keras,lambert,normal,24.0,100.0,0.1343283937800815,0.0385539699159562,0.4566666666666666,5.225064379614022e-226,0.8853173596714634,0.0538394376635551,0.0513889119029045,0.0033413069833774,17.76195660744095,0.0025667548179626,0.0285057611763477,0.047791838645935,8.325675010681152,0.375,0.875,0.0,0.5,0.5249999761581421,0.0560564585030078,0.0586746558547019,0.955377712684372,2.321928094887362,0.2241666666666666,4.620703769422683,,,,0.5255739613177085,0.5170670322074685,0.5255739613177085,,,,,,,,,,0.5517138795541385,0.0188144350594589,0.7376541635065095,0.2689260178613207,0.0015744965817604,0.0098218506402815,1.2166666666666666,0.0,2.898660464721593,8.00222482372353
2026-03-07 15:58:59,WaveNet-Lambert-GAN_3Lambda,wavenet_lambert_generator.keras,lambert,normal,24.0,100.0,0.1061088221093517,0.032588103643308,0.2995833333333333,2.0995526799490352e-95,0.6158924582169675,0.0365496389567852,0.0360534116625785,0.0025547022518096,18.98297065295279,0.0022647380828857,0.1536278426647186,0.0145751916351247,7.887739630216955,0.375,0.875,0.0,0.5,0.5300000309944153,0.0572191178798675,0.0591601245105266,0.967190626343024,1.0177283672838466,0.0824999999999999,2.015423211010638,,,,0.5086714220276843,0.49708297130502,0.5086714220276843,,,,,,,,,,0.5301142318912982,0.017984213897327,0.7033958643733297,0.2689260178613208,-0.0227746112924651,0.0075166481891864,1.3125,0.1041666666666666,2.898660464721594,7.285388337556734
2026-03-07 09:17:31,WaveNet-Lambert-GAN,wavenet_lambert_generator.keras,lambert,normal,24.0,100.0,0.1257365231925593,0.0356670897764464,0.3808333333333333,1.909243598705846e-155,0.7369335588008674,0.053781796246767,0.0513019599020481,0.0029736450886849,17.887218763749114,0.0033506751060485,0.0870461836457252,0.0241831988096237,8.26156997680664,0.375,0.875,0.0,0.5,0.625,0.0572297796607017,0.0586545653641223,0.9757088694703354,1.7969079309393654,0.1641666666666666,3.5729844634424417,,,,0.5258307253367471,0.5174482830447922,0.5258307253367471,,,,,,,,,,0.5521631242609156,0.0185732190733084,0.7376907925148962,0.2689260178613207,-0.0464962135320294,0.0097035932634371,1.1958333333333333,0.0,2.898660464721593,7.962365883352809
2026-03-07 16:55:51,WaveNet-Lambert-GAN-2,wavenet_lambert_generator.keras,lambert,normal,24.0,100.0,0.0076355797801632,0.0060275727914025,0.0475,0.0088905908603159,0.1585377170991833,0.0413226075470447,0.0381595604121685,6.491204531254655e-05,18.166689999589288,0.0018028020858764,0.8684741854667664,0.1120593845844268,3.214991569519043,0.05,0.55,0.0,0.5,0.4924999475479126,0.0576971992850303,0.0569286346435546,1.013500493140014,0.0107255193854958,0.0008333333333333,0.0134133490004764,,,,0.4756085140043368,0.4583485829769365,0.4756085140043368,,,,,,,,,,0.4930740805628582,0.0209033639918867,0.659835144547534,0.2689260178613207,-0.0655035027208444,0.0027622831739945,0.925,1.0208333333333333,2.898660464721593,2.714621686465661
2026-03-08 14:52:08,WaveNet-GAN-Spectral,wavenet_generator_ml_tl_beta_linear_spec.keras,minmax,normal,24.0,100.0,0.0079928009143096,0.00866022736455,0.0941666666666666,1.113641254368062e-09,0.180134400015085,0.0618767850100994,0.0632232204079628,0.0001210474636298,18.73658555955626,0.0038949251174926,0.8276517391204834,0.2728268741607547,1.0427281278014906,0.125,0.625,0.0,0.5,0.518750011920929,0.0583763122558593,0.0624079406261444,0.9353987917268964,0.0373683234005359,0.0,0.0596084649430839,,,,0.1453492106686618,0.1422840549574889,0.1453492106686618,0.145349210854493,0.1049776711650885,0.1310693265555347,0.5488495336867095,1.709459248656473,2.399250752735086,0.0012049432425124,0.0116890036912686,0.0230256166979995,0.5771299247532953,0.0227286183164698,0.7361520743195273,0.2689260178613208,0.0613370605628884,0.0037663993267959,0.8875,1.0833333333333333,2.898660464721594,2.64442174157139
2026-03-08 08:46:45,WaveNet-Hybrid-GAN,hybrid_wavenet_generator.keras,minmax,normal,24.0,100.0,0.0183197612356239,0.0181240977160632,0.145,2.0592009960963924e-22,0.2485769153421858,0.0434825271368026,0.0389408841729164,0.0008435293220355,18.009755637658962,0.0062765479087829,0.5249791741371155,0.3186278343200683,5.103105545043945,0.25,0.75,0.0,0.5,0.5224999785423279,0.0569867976009845,0.0608679465949535,0.9362365709525884,0.1270086013725073,0.0104166666666666,0.2542351739512067,,,,0.1031657616557855,0.1041230863727619,0.1031657616557855,0.1031657608669469,0.0710037604963007,0.0827857594231438,0.5107722281157686,1.514578933538128,2.2703666050761058,0.0010435530760573,0.0091757973836699,0.0206182580857792,0.5326450598840612,0.0165754307216947,0.7213694810683261,0.2689260178613207,-0.0327087105571581,0.0046212447216932,1.1208333333333331,0.9166666666666666,2.898660464721593,3.523159561765758
2026-03-08 12:05:07,WaveNet-Hybrid-GAN-Early,hybrid_wavenet_generator_early.keras,minmax,normal,24.0,100.0,0.1788300785296862,0.0250508711052437,0.3029166666666666,1.4530903488578318e-97,0.5051926283298378,0.3864421546459198,0.3862017393112182,0.0016778954293556,20.429094315508845,0.0131577849388122,0.3501082360744476,0.5866445899009705,8.191636085510254,0.425,0.925,0.0,0.5,0.5049999952316284,0.0559449791908264,0.0611296594142913,0.9151855208561354,0.3942050124897966,0.11875,1.6097125263693317,,,,1.1706354594056825,1.1759084791578818,1.1706354594056825,1.1706354680532185,1.1383875041618232,1.4807341616857073,6.367494461919712,6.246947638424319,7.6802024425803745,0.1621799428903128,0.1560974191888607,0.2359420382360702,6.719192295887824,0.0301933792235681,9.471655506818191,0.2689260178613207,0.0096806785192082,0.0127310589155463,1.7041666666666666,0.0,2.898660464721593,14.485048544192148
